date,asin,sku,title,sessions,page_views,sales_rank,daily_sales,gross_revenue,returns,net_returns,ads,bsr,paid_revenue,organic_revenue,inventory,availability_status,sales_velocity_7d,inventory_days_cover
2026-08-06,B08N5K2Z11,SLP-BAM-01,Sleepsia Bamboo Memory Foam Cervical Pillow for Neck Pain Relief,1325,1764,1123,190,262492.74,6,8289.24,43646.67,1123,102907.89,159584.85,3772,In Stock,190.0,19.9
2026-08-07,B08N5K2Z11,SLP-BAM-01,Sleepsia Bamboo Memory Foam Cervical Pillow for Neck Pain Relief,1325,1764,1179,190,265756.41,8,11189.74,41259.81,1179,102784.32,162972.09,3607,In Stock,190.0,19.0
2026-08-08,B08N5K2Z11,SLP-BAM-01,Sleepsia Bamboo Memory Foam Cervical Pillow for Neck Pain Relief,1325,1764,1174,190,263069.1,8,11076.59,43078.5,1174,99070.71,163998.39,3225,In Stock,190.0,17.0
2026-08-09,B08N5K2Z11,SLP-BAM-01,Sleepsia Bamboo Memory Foam Cervical Pillow for Neck Pain Relief,1325,1764,1198,190,269709.56,7,9936.67,42299.58,1198,100142.51,169567.05,3012,In Stock,190.0,15.9
2026-08-10,B08N5K2Z11,SLP-BAM-01,Sleepsia Bamboo Memory Foam Cervical Pillow for Neck Pain Relief,1325,1764,1143,190,267184.2,7,9843.63,45717.52,1143,100186.78,166997.42,2768,In Stock,190.0,14.6
2026-08-11,B08N5K2Z11,SLP-BAM-01,Sleepsia Bamboo Memory Foam Cervical Pillow for Neck Pain Relief,1325,1764,1207,190,265446.54,8,11176.7,41279.0,1207,99342.22,166104.32,2500,In Stock,190.0,13.2
2026-08-12,B08N5K2Z11,SLP-BAM-01,Sleepsia Bamboo Memory Foam Cervical Pillow for Neck Pain Relief,1325,1764,1186,190,266550.53,8,11223.18,42703.29,1186,101449.59,165100.94,2244,In Stock,190.0,11.8
2026-08-13,B08N5K2Z11,SLP-BAM-01,Sleepsia Bamboo Memory Foam Cervical Pillow for Neck Pain Relief,1325,1764,1157,190,266732.21,7,9826.98,43469.3,1157,98064.12,168668.09,1917,In Stock,190.0,10.1
2026-08-14,B08N5K2Z11,SLP-BAM-01,Sleepsia Bamboo Memory Foam Cervical Pillow for Neck Pain Relief,1325,1764,1163,190,270578.44,6,8544.58,41240.78,1163,102963.87,167614.57,1696,In Stock,190.0,8.9
2026-08-15,B08N5K2Z11,SLP-BAM-01,Sleepsia Bamboo Memory Foam Cervical Pillow for Neck Pain Relief,1480,1971,1084,212,299119.3,8,11287.52,48771.74,1084,111917.39,187201.91,1402,In Stock,193.1,7.3
2026-08-16,B08N5K2Z11,SLP-BAM-01,Sleepsia Bamboo Memory Foam Cervical Pillow for Neck Pain Relief,1440,1917,1108,207,285654.7,8,11039.8,44843.79,1108,111139.54,174515.16,1145,In Stock,195.6,5.9
2026-08-17,B08N5K2Z11,SLP-BAM-01,Sleepsia Bamboo Memory Foam Cervical Pillow for Neck Pain Relief,1592,2119,967,228,321366.55,8,11276.02,50482.95,967,122316.67,199049.88,869,In Stock,201.0,4.3
2026-08-18,B08N5K2Z11,SLP-BAM-01,Sleepsia Bamboo Memory Foam Cervical Pillow for Neck Pain Relief,1592,2119,994,228,320835.97,9,12664.58,50197.05,994,121239.65,199596.32,621,In Stock,206.4,3.0
2026-08-19,B08N5K2Z11,SLP-BAM-01,Sleepsia Bamboo Memory Foam Cervical Pillow for Neck Pain Relief,1830,2437,812,263,366068.03,9,12527.04,58705.66,812,135097.73,230970.3,323,In Stock,216.9,1.5
2026-08-06,B08V6W1Y99,SLP-COOL-09,Sleepsia Dual Sided Cooling & Warmth Memory Foam Pillow,634,900,2662,89,133809.29,4,6013.9,21378.79,2662,50490.44,83318.85,2529,In Stock,89.0,28.4
2026-08-07,B08V6W1Y99,SLP-COOL-09,Sleepsia Dual Sided Cooling & Warmth Memory Foam Pillow,634,900,2770,89,134229.43,4,6032.78,21638.07,2770,48884.6,85344.83,2491,In Stock,89.0,28.0
2026-08-08,B08V6W1Y99,SLP-COOL-09,Sleepsia Dual Sided Cooling & Warmth Memory Foam Pillow,634,900,2712,89,133473.3,4,5998.8,20714.43,2712,49597.39,83875.91,2676,In Stock,89.0,30.1
2026-08-09,B08V6W1Y99,SLP-COOL-09,Sleepsia Dual Sided Cooling & Warmth Memory Foam Pillow,634,900,2657,89,133199.31,4,5986.49,20416.21,2657,50372.63,82826.68,2182,In Stock,89.0,24.5
