dispatch_date,store_id,item_code,item_description,unit_mrp_inr,discounted_price_inr,daily_sales,gross_revenue,returns,net_returns,ads,bsr,paid_revenue,organic_revenue,inventory,availability_status,sales_velocity_7d,inventory_days_cover
2026-08-06,BLK-DEL-DARK-01,SLP-BAM-01,Sleepsia Bamboo Memory Foam Cervical Pillow for Neck Pain Relief,2999,1399,69,94544.99,1,1370.22,11294.32,134,37248.05,57296.94,1960,In Stock,69.0,28.4
2026-08-07,BLK-DEL-DARK-01,SLP-BAM-01,Sleepsia Bamboo Memory Foam Cervical Pillow for Neck Pain Relief,2999,1399,69,95606.44,2,2771.2,11669.42,140,36968.23,58638.21,1820,In Stock,69.0,26.4
2026-08-08,BLK-DEL-DARK-01,SLP-BAM-01,Sleepsia Bamboo Memory Foam Cervical Pillow for Neck Pain Relief,2999,1399,69,96230.74,1,1394.65,11609.14,140,36760.67,59470.07,1737,In Stock,69.0,25.2
2026-08-09,BLK-DEL-DARK-01,SLP-BAM-01,Sleepsia Bamboo Memory Foam Cervical Pillow for Neck Pain Relief,2999,1399,69,95593.73,1,1385.42,11611.16,147,36661.23,58932.5,1610,In Stock,69.0,23.3
2026-08-10,BLK-DEL-DARK-01,SLP-BAM-01,Sleepsia Bamboo Memory Foam Cervical Pillow for Neck Pain Relief,2999,1399,69,97768.68,1,1416.94,11623.45,138,38396.91,59371.77,1511,In Stock,69.0,21.9
2026-08-11,BLK-DEL-DARK-01,SLP-BAM-01,Sleepsia Bamboo Memory Foam Cervical Pillow for Neck Pain Relief,2999,1399,69,96819.36,2,2806.36,11926.84,136,36915.88,59903.48,1429,In Stock,69.0,20.7
2026-08-12,BLK-DEL-DARK-01,SLP-BAM-01,Sleepsia Bamboo Memory Foam Cervical Pillow for Neck Pain Relief,2999,1399,69,96987.67,1,1405.62,11292.02,141,36172.44,60815.23,1336,In Stock,69.0,19.4
2026-08-13,BLK-DEL-DARK-01,SLP-BAM-01,Sleepsia Bamboo Memory Foam Cervical Pillow for Neck Pain Relief,2999,1399,69,96457.43,1,1397.93,11880.29,137,36060.58,60396.85,1259,In Stock,69.0,18.2
2026-08-14,BLK-DEL-DARK-01,SLP-BAM-01,Sleepsia Bamboo Memory Foam Cervical Pillow for Neck Pain Relief,2999,1399,69,95593.35,1,1385.41,11858.39,132,36136.06,59457.29,1174,In Stock,69.0,17.0
2026-08-15,BLK-DEL-DARK-01,SLP-BAM-01,Sleepsia Bamboo Memory Foam Cervical Pillow for Neck Pain Relief,2999,1399,70,98640.96,1,1409.16,12264.59,130,39306.76,59334.2,1053,In Stock,69.1,15.2
2026-08-16,BLK-DEL-DARK-01,SLP-BAM-01,Sleepsia Bamboo Memory Foam Cervical Pillow for Neck Pain Relief,2999,1399,70,96663.67,2,2761.82,11628.35,134,36307.92,60355.75,970,In Stock,69.3,14.0
2026-08-17,BLK-DEL-DARK-01,SLP-BAM-01,Sleepsia Bamboo Memory Foam Cervical Pillow for Neck Pain Relief,2999,1399,77,108502.49,2,2818.25,12757.82,114,42671.31,65831.18,859,In Stock,70.4,12.2
2026-08-18,BLK-DEL-DARK-01,SLP-BAM-01,Sleepsia Bamboo Memory Foam Cervical Pillow for Neck Pain Relief,2999,1399,73,102148.24,2,2798.58,12202.99,131,38444.68,63703.56,777,In Stock,71.0,10.9
