order_date,fsn,seller_sku,item_title,item_price_inr,return_type,cancellation_quantity,daily_sales,gross_revenue,returns,net_returns,ads,bsr,paid_revenue,organic_revenue,inventory,availability_status,sales_velocity_7d,inventory_days_cover
2026-08-06,PLWGFK1234567890,SLP-BAM-01,Sleepsia Bamboo Memory Foam Cervical Pillow for Neck Pain Relief,1399,Customer Return,0,121,166169.58,4,5493.21,23889.41,1704,65272.36,100897.22,2609,In Stock,121.0,21.6
2026-08-07,PLWGFK1234567890,SLP-BAM-01,Sleepsia Bamboo Memory Foam Cervical Pillow for Neck Pain Relief,1399,Customer Return,0,121,168298.29,5,6954.47,24421.16,1743,66229.14,102069.15,2530,In Stock,121.0,20.9
2026-08-08,PLWGFK1234567890,SLP-BAM-01,Sleepsia Bamboo Memory Foam Cervical Pillow for Neck Pain Relief,1399,Customer Return,0,121,169525.15,4,5604.14,23807.52,1624,65385.8,104139.35,2349,In Stock,121.0,19.4
2026-08-09,PLWGFK1234567890,SLP-BAM-01,Sleepsia Bamboo Memory Foam Cervical Pillow for Neck Pain Relief,1399,Customer Return,0,121,169970.08,5,7023.56,24254.87,1689,63843.78,106126.3,2145,In Stock,121.0,17.7
2026-08-10,PLWGFK1234567890,SLP-BAM-01,Sleepsia Bamboo Memory Foam Cervical Pillow for Neck Pain Relief,1399,Customer Return,0,121,165916.93,4,5484.86,22832.23,1651,63012.42,102904.51,2027,In Stock,121.0,16.8
2026-08-11,PLWGFK1234567890,SLP-BAM-01,Sleepsia Bamboo Memory Foam Cervical Pillow for Neck Pain Relief,1399,Customer Return,0,121,169921.0,3,4212.92,24039.0,1645,65118.69,104802.31,1790,In Stock,121.0,14.8
2026-08-12,PLWGFK1234567890,SLP-BAM-01,Sleepsia Bamboo Memory Foam Cervical Pillow for Neck Pain Relief,1399,Customer Return,0,121,171402.84,4,5666.21,24684.16,1695,64586.89,106815.95,1694,In Stock,121.0,14.0
2026-08-13,PLWGFK1234567890,SLP-BAM-01,Sleepsia Bamboo Memory Foam Cervical Pillow for Neck Pain Relief,1399,Customer Return,0,121,168145.97,4,5558.54,24367.34,1723,65197.51,102948.46,1569,In Stock,121.0,13.0
2026-08-14,PLWGFK1234567890,SLP-BAM-01,Sleepsia Bamboo Memory Foam Cervical Pillow for Neck Pain Relief,1399,Customer Return,0,121,167533.65,4,5538.3,23253.09,1692,65024.08,102509.57,1352,In Stock,121.0,11.2
2026-08-15,PLWGFK1234567890,SLP-BAM-01,Sleepsia Bamboo Memory Foam Cervical Pillow for Neck Pain Relief,1399,Customer Return,0,126,181446.15,5,7200.24,23488.71,1617,68956.15,112490.0,1216,In Stock,121.7,10.0
2026-08-16,PLWGFK1234567890,SLP-BAM-01,Sleepsia Bamboo Memory Foam Cervical Pillow for Neck Pain Relief,1399,Customer Return,0,135,192160.43,5,7117.05,26018.66,1495,73393.88,118766.55,1024,In Stock,123.7,8.3
