date,instamart_sku,sku,product_name,units_sold,price,revenue,ad_spend,ad_attributed_revenue,returns,city_rank,inventory_level,units_in_transit
2026-08-06,INSTA-334101,SLP-CMF-01,Sleepsia Contour Memory Foam Pillow,32,1349.00,43168.00,5500.00,24282.00,1,6,150,30
2026-08-07,INSTA-334101,SLP-CMF-01,Sleepsia Contour Memory Foam Pillow,35,1349.00,47215.00,5800.00,26980.00,1,5,138,30
2026-08-08,INSTA-334101,SLP-CMF-01,Sleepsia Contour Memory Foam Pillow,40,1349.00,53960.00,6500.00,32376.00,1,4,122,30
2026-08-09,INSTA-334101,SLP-CMF-01,Sleepsia Contour Memory Foam Pillow,42,1349.00,56658.00,6800.00,33725.00,2,4,105,30
2026-08-10,INSTA-334101,SLP-CMF-01,Sleepsia Contour Memory Foam Pillow,36,1349.00,48564.00,6000.00,28329.00,1,6,130,0
2026-08-11,INSTA-334101,SLP-CMF-01,Sleepsia Contour Memory Foam Pillow,38,1349.00,51262.00,6200.00,29678.00,1,5,115,0
2026-08-12,INSTA-334101,SLP-CMF-01,Sleepsia Contour Memory Foam Pillow,37,1349.00,49913.00,6100.00,29678.00,1,5,102,40
2026-08-13,INSTA-334101,SLP-CMF-01,Sleepsia Contour Memory Foam Pillow,39,1349.00,52611.00,6400.00,31027.00,1,4,88,40
2026-08-14,INSTA-334101,SLP-CMF-01,Sleepsia Contour Memory Foam Pillow,41,1349.00,55309.00,6700.00,33725.00,2,4,74,40
2026-08-15,INSTA-334101,SLP-CMF-01,Sleepsia Contour Memory Foam Pillow,50,1299.00,64950.00,8000.00,41568.00,2,3,52,40
2026-08-16,INSTA-334101,SLP-CMF-01,Sleepsia Contour Memory Foam Pillow,46,1299.00,59754.00,7400.00,37671.00,1,4,90,0
2026-08-17,INSTA-334101,SLP-CMF-01,Sleepsia Contour Memory Foam Pillow,41,1349.00,55309.00,6700.00,33725.00,1,4,78,0
2026-08-18,INSTA-334101,SLP-CMF-01,Sleepsia Contour Memory Foam Pillow,43,1349.00,58007.00,7000.00,35074.00,1,4,68,50
2026-08-19,INSTA-334101,SLP-CMF-01,Sleepsia Contour Memory Foam Pillow,45,1349.00,60705.00,7300.00,36423.00,1,3,58,50
2026-08-06,INSTA-334102,SLP-COP-02,Sleepsia Cervical Orthopedic Pillow,22,1549.00,34078.00,4200.00,18588.00,1,9,110,25
2026-08-07,INSTA-334102,SLP-COP-02,Sleepsia Cervical Orthopedic Pillow,24,1549.00,37176.00,4500.00,20137.00,0,8,100,25
2026-08-08,INSTA-334102,SLP-COP-02,Sleepsia Cervical Orthopedic Pillow,27,1549.00,41823.00,5000.00,23235.00,1,7,88,25
2026-08-09,INSTA-334102,SLP-COP-02,Sleepsia Cervical Orthopedic Pillow,29,1549.00,44921.00,5300.00,24784.00,1,7,76,25
2026-08-10,INSTA-334102,SLP-COP-02,Sleepsia Cervical Orthopedic Pillow,25,1549.00,38725.00,4600.00,21686.00,0,8,95,0
2026-08-11,INSTA-334102,SLP-COP-02,Sleepsia Cervical Orthopedic Pillow,26,1549.00,40274.00,4800.00,21686.00,1,8,84,0
2026-08-12,INSTA-334102,SLP-COP-02,Sleepsia Cervical Orthopedic Pillow,28,1549.00,43372.00,5100.00,24784.00,0,7,72,30
