platform,product_id,internal_sku,platform_product_id,id_type
Amazon,P001,SLP-BAM-01,ASIN-SLP-BAM-01,ASIN
Flipkart,P001,SLP-BAM-01,FSN-SLP-BAM-01,FSN
Blinkit,P001,SLP-BAM-01,BLK-SLP-BAM-01,Item Code
Instamart,P001,SLP-BAM-01,INS-SLP-BAM-01,SKU Code
Amazon,P002,SLP-GEL-02,ASIN-SLP-GEL-02,ASIN
Flipkart,P002,SLP-GEL-02,FSN-SLP-GEL-02,FSN
Blinkit,P002,SLP-GEL-02,BLK-SLP-GEL-02,Item Code
Instamart,P002,SLP-GEL-02,INS-SLP-GEL-02,SKU Code
Amazon,P003,SLP-SHR-03,ASIN-SLP-SHR-03,ASIN
Flipkart,P003,SLP-SHR-03,FSN-SLP-SHR-03,FSN
Blinkit,P003,SLP-SHR-03,BLK-SLP-SHR-03,Item Code
Instamart,P003,SLP-SHR-03,INS-SLP-SHR-03,SKU Code
Amazon,P004,SLP-MIC-04,ASIN-SLP-MIC-04,ASIN
Flipkart,P004,SLP-MIC-04,FSN-SLP-MIC-04,FSN
Blinkit,P004,SLP-MIC-04,BLK-SLP-MIC-04,Item Code
Instamart,P004,SLP-MIC-04,INS-SLP-MIC-04,SKU Code
Amazon,P005,SLP-PREG-05,ASIN-SLP-PREG-05,ASIN
Flipkart,P005,SLP-PREG-05,FSN-SLP-PREG-05,FSN
Blinkit,P005,SLP-PREG-05,BLK-SLP-PREG-05,Item Code
Instamart,P005,SLP-PREG-05,INS-SLP-PREG-05,SKU Code
Amazon,P006,SLP-LUM-06,ASIN-SLP-LUM-06,ASIN
Flipkart,P006,SLP-LUM-06,FSN-SLP-LUM-06,FSN
Blinkit,P006,SLP-LUM-06,BLK-SLP-LUM-06,Item Code
Instamart,P006,SLP-LUM-06,INS-SLP-LUM-06,SKU Code
Amazon,P007,SLP-TRV-07,ASIN-SLP-TRV-07,ASIN
Flipkart,P007,SLP-TRV-07,FSN-SLP-TRV-07,FSN
Blinkit,P007,SLP-TRV-07,BLK-SLP-TRV-07,Item Code
Instamart,P007,SLP-TRV-07,INS-SLP-TRV-07,SKU Code
Amazon,P008,SLP-KNEE-08,ASIN-SLP-KNEE-08,ASIN
Flipkart,P008,SLP-KNEE-08,FSN-SLP-KNEE-08,FSN
Blinkit,P008,SLP-KNEE-08,BLK-SLP-KNEE-08,Item Code
Instamart,P008,SLP-KNEE-08,INS-SLP-KNEE-08,SKU Code
Amazon,P009,SLP-COOL-09,ASIN-SLP-COOL-09,ASIN
Flipkart,P009,SLP-COOL-09,FSN-SLP-COOL-09,FSN
Blinkit,P009,SLP-COOL-09,BLK-SLP-COOL-09,Item Code
Instamart,P009,SLP-COOL-09,INS-SLP-COOL-09,SKU Code
Amazon,P010,SLP-KIDS-10,ASIN-SLP-KIDS-10,ASIN
Flipkart,P010,SLP-KIDS-10,FSN-SLP-KIDS-10,FSN
Blinkit,P010,SLP-KIDS-10,BLK-SLP-KIDS-10,Item Code
Instamart,P010,SLP-KIDS-10,INS-SLP-KIDS-10,SKU Code
